1. 2099 Van Ness Avenue, Klamath County, Oregon 97601 (-121.77436077785265 LONG, 42.24296157686674 LAT)
2. 1298 Pine Street, Klamath County, Oregon 97601 (-121.77797325620134 LONG, 42.22887210847619 LAT)
3. 1400 East Main Street, Klamath County, Oregon 97601 (-121.76511777085558 LONG, 42.21672866737857 LAT)
4. 322 Pacific Terrace, Klamath County, Oregon 97601 (-121.76969306122344 LONG, 42.23103846030975 LAT)
5. 3600 Washburn Way, Klamath County, Oregon 97603 (-121.75980468333023 LONG, 42.193359377545 LAT)
6. 1262 Pine Street, Klamath County, Oregon 97601 (-121.77860853802123 LONG, 42.2287369572143 LAT)
7. 2198 White Avenue, Klamath County, Oregon 97601 (-121.76350272865535 LONG, 42.21672858681461 LAT)
8. 2637 Bly Street, Klamath County, Oregon 97601 (-121.81238681824426 LONG, 42.244617847939416 LAT)
9. 534 Pacific Terrace, Klamath County, Oregon 97601 (-121.77077534976073 LONG, 42.2329397648177 LAT)
10. 3600 Washburn Way, Klamath County, Oregon 97603 (-121.75957420201497 LONG, 42.19414327252081 LAT)
11. 1101 Red Willow Drive, Klamath County, Oregon 97601 (-121.83016163597871 LONG, 42.220619349747864 LAT)
12. 1111 Main Street, Klamath County, Oregon 97601 (-121.77896878449131 LONG, 42.227616839610604 LAT)
13. 2212 White Avenue, Klamath County, Oregon 97601 (-121.76303345095484 LONG, 42.21670037114033 LAT)
14. 975 Hanks Street, Klamath County, Oregon 97601 (-121.80998545947762 LONG, 42.24571707265752 LAT)
15. 564 Pacific Terrace, Klamath County, Oregon 97601 (-121.77089919267993 LONG, 42.233172093752216 LAT)
16. 2865 Daggett Avenue, Klamath County, Oregon 97601 (-121.78562060824494 LONG, 42.25138540057069 LAT)
17. 1111 Main Street, Klamath County, Oregon 97601 (-121.77864189587443 LONG, 42.22787583053775 LAT)
18. 1467 Martin Street, Klamath County, Oregon 97601 (-121.7632973278107 LONG, 42.216218821323665 LAT)
19. 741 Hanks Street, Klamath County, Oregon 97601 (-121.80766544785916 LONG, 42.247316289056755 LAT)
20. 3018 Bryant Williams Drive, Klamath County, Oregon 97601 (-121.78332880930262 LONG, 42.25205912018099 LAT)
21. 223 Gage Road, Klamath County, Oregon 97601 (-121.79765450303906 LONG, 42.24510054712567 LAT)
22. 1007 Pine Street, Klamath County, Oregon 97601 (-121.78002933495506 LONG, 42.227924109094424 LAT)
23. 2292 White Avenue, Klamath County, Oregon 97601 (-121.76192107422943 LONG, 42.21670859104089 LAT)
24. 709 Roosevelt Street, Klamath County, Oregon 97601 (-121.78862353405731 LONG, 42.229679820080214 LAT)
25. 599 Hanks Street, Klamath County, Oregon 97601 (-121.80619594186483 LONG, 42.24843159595187 LAT)
26. 3060 Bryant Williams Drive, Klamath County, Oregon 97601 (-121.78255245400028 LONG, 42.251739994521095 LAT)
27. 2708 Montelius Street, Klamath County, Oregon 97601 (-121.79648489208233 LONG, 42.24531080394208 LAT)
28. 1298 Pine Street, Klamath County, Oregon 97601 (-121.77842374142938 LONG, 42.228902725532684 LAT)
29. 2530 White Avenue, Klamath County, Oregon 97601 (-121.75817248159373 LONG, 42.21674394727781 LAT)
30. 695 Cook Street, Klamath County, Oregon 97601 (-121.79100352303814 LONG, 42.231387330206665 LAT)
31. 501 Northern Heights Boulevard, Klamath County, Oregon 97601 (-121.7962824438175 LONG, 42.25965208361898 LAT)
32. 1052 Timber Ridge Loop, Klamath County, Oregon 97601 (-121.83502989838665 LONG, 42.22264358198684 LAT)
33. 1320 Main Street, Klamath County, Oregon 97601 (-121.77629659092563 LONG, 42.22820994387101 LAT)
34. 2548 White Avenue, Klamath County, Oregon 97601 (-121.7579485231357 LONG, 42.216745957044296 LAT)
35. 698 Washington Street, Klamath County, Oregon 97601 (-121.78444600000569 LONG, 42.22696108298135 LAT)
36. 229 Gage Road, Klamath County, Oregon 97601 (-121.79794255341523 LONG, 42.24510053410822 LAT)
37. 5797 Engleman Spruce Way, Klamath County, Oregon 97601 (-121.83133101482177 LONG, 42.22146812142272 LAT)
38. 1115 Klamath Avenue, Klamath County, Oregon 97601 (-121.77814039667263 LONG, 42.22704516448473 LAT)
39. 2518 White Avenue, Klamath County, Oregon 97601 (-121.75833478644267 LONG, 42.21674249078072 LAT)
40. 634 North 3rd Street, Klamath County, Oregon 97601 (-121.78948103786243 LONG, 42.225451868070024 LAT)
41. 946 Ponderosa Drive, Klamath County, Oregon 97601 (-121.82011799777888 LONG, 42.228449847508905 LAT)
42. 3520 Chelsea Street, Klamath County, Oregon 97601 (-121.79821615691952 LONG, 42.25279513222784 LAT)
43. 270 Commercial Street, Klamath County, Oregon 97601 (-121.77686648215015 LONG, 42.227046248211735 LAT)
44. 1465 Mitchell Street, Klamath County, Oregon 97601 (-121.75989744562659 LONG, 42.21626656153212 LAT)
45. 601 North 8th Street, Klamath County, Oregon 97601 (-121.78550407434803 LONG, 42.22874930154336 LAT)
46. 1851 Oregon Avenue, Klamath County, Oregon 97601 (-121.7883896768468 LONG, 42.23697227376765 LAT)
47. 1035 Walnut Avenue, Klamath County, Oregon 97601 (-121.77807172696986 LONG, 42.22613906793801 LAT)
48. 1466 Mitchell Street, Klamath County, Oregon 97601 (-121.7600962262936 LONG, 42.216254569486004 LAT)
49. 528 North 9th Street, Klamath County, Oregon 97601 (-121.78414250142187 LONG, 42.22906119835496 LAT)
50. 901 Walnut Avenue, Klamath County, Oregon 97601 (-121.77857125544512 LONG, 42.22586563639462 LAT)
51. 1298 Lincoln Street, Klamath County, Oregon 97601 (-121.78245648689787 LONG, 42.23196835672253 LAT)
52. 899 Mount Whitney Street, Klamath County, Oregon 97601 (-121.78829122740633 LONG, 42.23129938463984 LAT)
53. 2706 Montelius Street, Klamath County, Oregon 97601 (-121.79648484057917 LONG, 42.245283191964816 LAT)
54. 926 Bailey Mountain Road, Klamath County, Oregon 97601 (-121.83569902226297 LONG, 42.2297995132035 LAT)
55. 201 South 9th Street, Klamath County, Oregon 97601 (-121.77932131483426 LONG, 42.226211052096595 LAT)
56. 2474 Union Street, Klamath County, Oregon 97601 (-121.75888193769609 LONG, 42.214992781323836 LAT)
57. 916 Alandale Street, Klamath County, Oregon 97603 (-121.7562693 LONG, 42.22089824629081 LAT)
58. 1498 Mitchell Street, Klamath County, Oregon 97601 (-121.75998673610457 LONG, 42.215988861416236 LAT)
59. 928 Bailey Mountain Road, Klamath County, Oregon 97601 (-121.83569541997068 LONG, 42.22972583450954 LAT)
60. 290 South 9th Street, Klamath County, Oregon 97601 (-121.77913934497481 LONG, 42.225947794187405 LAT)
61. 2099 Van Ness Avenue, Klamath County, Oregon 97601 (-121.77439530646885 LONG, 42.24296170263226 LAT)
62. 1070 North 8th Street, Klamath County, Oregon 97601 (-121.78943200318264 LONG, 42.23105931961664 LAT)
63. 832 Klamath Avenue, Klamath County, Oregon 97601 (-121.77985654149408 LONG, 42.2257961063058 LAT)
64. 1702 Fairmount Street, Klamath County, Oregon 97601 (-121.77437691808191 LONG, 42.24304429443536 LAT)
65. 898 Doty Street, Klamath County, Oregon 97601 (-121.78908133880914 LONG, 42.23187970731687 LAT)
66. 878 Abbot Mountain Way, Klamath County, Oregon 97601 (-121.8396489437021 LONG, 42.23131447060566 LAT)
67. 305 South 9th Street, Klamath County, Oregon 97601 (-121.77840233459699 LONG, 42.22571920828098 LAT)
68. 1350 Mitchell Street, Klamath County, Oregon 97601 (-121.75997972150107 LONG, 42.21723439556675 LAT)
69. 2060 Fairmount Street, Klamath County, Oregon 97601 (-121.77441750223784 LONG, 42.24584072362467 LAT)
70. 998 Saddle Butte Drive, Klamath County, Oregon 97601 (-121.8396975814349 LONG, 42.23038236417177 LAT)
71. 1111 Main Street, Klamath County, Oregon 97601 (-121.77892799993712 LONG, 42.2276130897182 LAT)
72. 1346 Mitchell Street, Klamath County, Oregon 97601 (-121.7601184353409 LONG, 42.21725308587012 LAT)
73. 1056 Applewood Street, Klamath County, Oregon 97603 (-121.75530001555434 LONG, 42.21985318745491 LAT)
74. 325 East Lowell Street, Klamath County, Oregon 97601 (-121.79324875889242 LONG, 42.24063069145167 LAT)
75. 994 Beattys Butte Drive, Klamath County, Oregon 97601 (-121.83738902656806 LONG, 42.22705215955356 LAT)
76. 671 Walnut Avenue, Klamath County, Oregon 97601 (-121.78039467248193 LONG, 42.22414402400929 LAT)
77. 2366 Eberlein Avenue, Klamath County, Oregon 97601 (-121.76060946918474 LONG, 42.21722978279293 LAT)
78. 5501 Havencrest Drive, Klamath County, Oregon 97603 (-121.72004435491489 LONG, 42.22558230015597 LAT)
79. 942 Bailey Mountain Road, Klamath County, Oregon 97601 (-121.83566697617782 LONG, 42.22914406564119 LAT)
80. 316 South 6th Street, Klamath County, Oregon 97601 (-121.7801141340158 LONG, 42.22336624830987 LAT)
81. 1351 Division Street, Klamath County, Oregon 97601 (-121.76132370995836 LONG, 42.217224685836634 LAT)
82. 2198 Home Avenue, Klamath County, Oregon 97601 (-121.76352666363917 LONG, 42.22467731071444 LAT)
